0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.46711,0.46667,0.46622,0.46622,0.43911,0.476,0.464,0.46578,0.55294,0.50588,0.5,0.5,0.50588,0.5,0.5,0.5,0.495,0.4985,0.4985,0.498,0.505,0.5155,0.498,0.494,0.031,-0.018,1.037,0.87059,0.59412,0.39412,0.21765,0.5,0.5,0.5,0.5,0.56667,0.49689,0.42489,0.384,0.44356,0.47556,0.46311,0.46844,0.86471,0.63529,0.4,0.27059,0.50588,0.5,0.5,0.50588,0.523,0.506,0.517,0.442,0.503,0.5175,0.5025,0.4945,-0.014,-0.002,0.997
0.73289,0.56756,0.36311,0.24356,0.44444,0.48044,0.46578,0.464,0.84706,0.62941,0.39412,0.11176,0.50588,0.50588,0.54706,0.5,0.5425,0.4875,0.562,0.419,0.495,0.4915,0.493,0.5055,-0.154,-0.001,1.017,0.29412,0.41176,0.54706,0.62353,0.5,0.5,0.5,0.5,0.98533,0.588,0.30222,0.10489,0.444,0.49111,0.46311,0.46578,0.37647,0.42353,0.5,0.62353,0.5,0.5,0.5,0.51176,0.4435,0.4875,0.627,0.4995,0.4975,0.441,0.502,0.4965,-0.232,0.083,1.063
0.90089,0.544,0.31333,0.168,0.44444,0.49111,0.46311,0.46489,0.45294,0.41176,0.60588,0.6,0.50588,0.5,0.5,0.50588,0.4075,0.487,0.6915,0.5,0.497,0.441,0.5015,0.5035,-0.156,0.089,1.034,0.58235,0.86471,0.52353,0.73529,0.5,0.5,0.5,0.5,0.82489,0.55289,0.36889,0.29022,0.44222,0.49067,0.46444,0.46667,0.5,0.72353,0.54706,0.65882,0.5,0.5,0.5,0.50588,0.403,0.55,0.5975,0.617,0.505,0.4425,0.4965,0.495,-0.324,-0.011,0.99
0.82489,0.67156,0.39911,0.37689,0.44444,0.48978,0.46444,0.46711,0.5,0.82353,0.54706,0.71176,0.5,0.49412,0.5,0.50588,0.463,0.6305,0.5135,0.78,0.495,0.446,0.4965,0.495,-0.344,-0.055,0.947,0.3,0.52353,0.25294,0.30588,0.5,0.5,0.5,0.5,0.85689,0.99289,0.35067,0.50978,0.44356,0.49556,0.46356,0.46578,0.5,0.51176,0.20588,0.32353,0.49412,0.5,0.5,0.50588,0.3485,0.5105,0.413,0.498,0.5025,0.4195,0.499,0.495,0.06,0.141,1.005
0.78711,1.00444,0.20756,0.412,0.43467,0.49511,0.46356,0.46578,0.50588,0.51176,0.19412,0.30588,0.48824,0.5,0.5,0.5,0.2905,0.511,0.4895,0.4975,0.5055,0.422,0.5,0.4965,0.054,0.042,0.894,0.55294,0.15294,0.73529,0.71765,0.5,0.5,0.5,0.5,0.54311,0.98133,0.10711,0.376,0.41511,0.48533,0.46356,0.46622,0.5,0.22941,0.64706,0.71765,0.49412,0.5,0.5,0.5,0.508,0.4305,0.6525,0.4995,0.519,0.468,0.5,0.4945,0.077,-0.045,1.027
0.54222,0.86089,0.19556,0.49378,0.41022,0.48533,0.46311,0.46578,0.5,0.25882,0.64706,0.72941,0.49412,0.5,0.5,0.5,0.529,0.338,0.799,0.445,0.521,0.468,0.5025,0.4965,0.012,0.018,1.024,0.47647,0.60588,0.39412,0.36471,0.5,0.5,0.5,0.5,0.54178,0.63244,0.32356,0.60756,0.41111,0.48533,0.46311,0.46444,0.50588,0.50588,0.5,0.44118,0.50588,0.5,0.5,0.5,0.551,0.453,0.688,0.29,0.5205,0.468,0.5025,0.505,-0.02,0.011,1.045
0.54222,0.66667,0.28889,0.544,0.41156,0.48533,0.46311,0.46444,0.50588,0.53529,0.41176,0.32941,0.50588,0.5,0.5,0.5,0.536,0.468,0.5955,0.2615,0.5205,0.468,0.5025,0.505,0.115,0.08,1.016,0.77647,0.53529,0.42941,0.38824,0.5,0.5,0.5,0.5,0.59378,0.75867,0.20489,0.448,0.41822,0.48489,0.46267,0.46489,0.76471,0.54118,0.44118,0.33529,0.53529,0.5,0.5,0.5,0.58,0.445,0.586,0.1625,0.5135,0.4705,0.503,0.505,0.099,0.004,1.046
0.72711,0.8,0.16489,0.40089,0.424,0.47822,0.46267,0.46489,0.79412,0.50588,0.41765,0.35882,0.51765,0.5,0.5,0.50588,0.581,0.4185,0.602,0.116,0.51,0.502,0.504,0.5025,0.197,-0.019,1.053,0.44706,0.37059,0.71765,0.34706,0.5,0.5,0.5,0.5,0.91911,0.84533,0.16444,0.33689,0.42756,0.47778,0.46267,0.46489,0.50588,0.50588,0.69412,0.5,0.50588,0.5,0.5,0.5,0.5205,0.2765,0.752,0.003,0.508,0.5055,0.503,0.5015,0.059,-0.039,1.035
0.91956,0.84533,0.27689,0.30978,0.42756,0.47733,0.46311,0.46533,0.50588,0.51176,0.68235,0.25882,0.50588,0.48824,0.5,0.50588,0.506,0.119,0.7445,0.0525,0.508,0.5075,0.5025,0.502,0.049,-0.073,0.94,0.33529,0.45294,0.62353,0.79412,0.5,0.5,0.5,0.5,0.86222,0.604,0.44978,0.22756,0.44,0.49644,0.46489,0.46489,0.3,0.45882,0.70588,0.77059,0.53529,0.5,0.5,0.50588,0.486,0.4885,0.7365,0.5005,0.5045,0.4135,0.494,0.5035,-0.297,0.014,0.999
0.77822,0.56444,0.52533,0.36844,0.44356,0.49644,0.46444,0.46533,0.34118,0.41765,0.68824,0.76471,0.50588,0.5,0.5,0.5,0.484,0.493,0.6745,0.5355,0.5025,0.4145,0.4955,0.5025,-0.329,-0.039,0.979,0.65294,0.81765,0.27647,0.26471,0.5,0.5,0.5,0.5,0.70089,0.57511,0.55911,0.45822,0.44444,0.48533,0.46489,0.46533,0.70588,0.88235,0.28824,0.27647,0.51176,0.5,0.5,0.50588,0.509,0.555,0.5005,0.561,0.495,0.4695,0.494,0.503,-0.233,-0.04,0.994
